Name,gene,Locus,product,protein_id,MUC5BMucinvsMedia_pvals,MUC5BMucinvsMedia_pfdr,MUC5BMucinvsMedia_l2fc,MUC5BGlycanvsMedia_pvals,MUC5BGlycanvsMedia_pfdr,MUC5BGlycanvsMedia_l2fc,MUC5ACGlycanvsMedia_pvals,MUC5ACGlycanvsMedia_pfdr,MUC5ACGlycanvsMedia_l2fc
NP_720488.1,dnaA,SMU_01,chromosome replication initiator DnaA,NP_720488.1,0.0189714882383772,0.0573536195354644,-0.0284022598059006,1.4893884336129998e-21,1.1178972955738998e-20,0.139710378630397,3.30449265669575e-23,4.94160390417326e-22,0.0632980313444864
NP_720489.1,dnaN,SMU_02,DNA polymerase III subunit beta,NP_720489.1,0.00972065652912487,0.0398384228881917,0.000321507467049094,6.578430443127859e-30,1.84102074829821e-28,0.22270106697303998,4.2284703898227e-15,1.8490119405496997e-14,0.11478816950082699
NP_720490.1,,SMU_05,hypothetical protein,NP_720490.1,0.134616828636177,0.198430675167999,-0.115341690051268,1.16817213926579e-15,3.5479832880956293e-15,-0.15704526392982598,8.108828353880151e-12,2.32920744065267e-11,0.381959816365969
NP_720491.1,,SMU_06,GTP-binding protein YchF,NP_720491.1,0.0622521933545121,0.11921021190761401,0.0625104236959051,7.12730166884019e-10,1.09337384254173e-09,0.15105746383886198,2.48812824301528e-10,5.816519365235e-10,-0.0572225848324202
NP_720492.1,pth,SMU_07,peptidyl-tRNA hydrolase,NP_720492.1,0.0127509977725494,0.0461018228940594,0.0177348591193336,3.2227331990188404e-10,5.124459689024269e-10,-0.0296964267310601,2.24583012669002e-07,3.64203743227298e-07,-0.0610365149664249
NP_720493.1,trcF,SMU_08,transcription-repair coupling factor,NP_720493.1,0.0297869698907718,0.075404286276006,0.0671050239740404,1.35172396835922e-11,2.49523936919497e-11,-0.00338972300437397,1.9694432405189103e-05,2.61391552044482e-05,0.0782444273897446
NP_720494.1,,SMU_09,hypothetical protein,NP_720494.1,0.0345076058481284,0.0822250152384186,-0.0579564419877672,7.828890497874749e-10,1.1972518723916199e-09,-0.10267235570402401,6.48417341379359e-14,2.41034074338172e-13,0.510658662139872
NP_720495.1,,SMU_10,hypothetical protein,NP_720495.1,0.00398948410847997,0.0234412371328589,0.134301195963908,6.7035848887441e-17,2.42293778543352e-16,0.0465644436386201,9.32095695553897e-34,7.939023772130799e-32,0.34630994742751503
NP_720496.1,,SMU_11,hypothetical protein,NP_720496.1,0.00123659471012176,0.0124474290270762,0.153038075714525,1.63342640961333e-15,4.88531654417177e-15,-0.000995369457343259,4.91514632338165e-14,1.8445922696369101e-13,0.0660710949324469
NP_720497.1,,SMU_12,hypothetical protein,NP_720497.1,0.0163005223713473,0.0521582205741199,0.0941004310182415,6.04746930033986e-17,2.2061438285597403e-16,0.066291654063663,6.30149248122779e-13,2.10300234594979e-12,0.01405614241503
NP_720498.1,,SMU_13,cell-cycle protein,NP_720498.1,0.0164722013574855,0.0524699877387221,-0.102398879111056,1.86320980473597e-15,5.5219788312825396e-15,-0.27029280796760297,7.09853463101042e-14,2.62377912116027e-13,-0.421333468950501
NP_720499.1,hprT,SMU_14,hypoxanthine-guanine phosphoribosyltransferase,NP_720499.1,0.33484568336100107,0.38837341249508595,-0.14030992187254002,1.52493260110975e-07,1.90640903993236e-07,-0.221643160990303,0.000570279566124351,0.000658325085467062,0.00578514503597979
NP_720500.1,ftsH,SMU_15,cell division protein FtsH,NP_720500.1,0.07547006409779901,0.136222462128128,-0.0738990844249504,4.9490213832091294e-15,1.36551167460657e-14,-0.12173198579030302,3.4833049413008896e-13,1.19297104545602e-12,0.10328034257333803
NP_720501.1,,SMU_16,amino acid permease,NP_720501.1,0.0335504893309531,0.08114247975226802,0.00171144101470561,1.04109263279092e-16,3.641965120781089e-16,-0.118483395468839,6.995905783137509e-33,4.89463551041656e-31,0.667032535494204
NP_720502.1,,SMU_18,hypothetical protein,NP_720502.1,0.167371591669234,0.22976941000702802,0.0168128262152877,9.51210612891087e-07,1.14601573840937e-06,-0.14340523138462802,5.36843823967572e-15,2.32158289437632e-14,1.22877704188503
NP_720503.1,mreC,SMU_20,cell shape-determining protein MreC,NP_720503.1,2.3364398608087598e-08,5.08565076369374e-06,0.249448552696923,3.42500719372962e-22,2.7956621218818e-21,-0.0793875138189981,5.0837840316543295e-18,3.50673694296156e-17,0.089012947330831
NP_720504.1,mreD,SMU_21,cell shape-determining protein MreD,NP_720504.1,0.00016392585856646598,0.00349055170577942,0.298683525962409,2.36937023236531e-12,4.74600847157837e-12,-0.24374238844155602,1.4378011483720197e-11,3.95042419307263e-11,0.39640702727378496
NP_720505.1,gbpB,SMU_22,secreted antigen GbpB/SagA,NP_720505.1,0.23013092628288298,0.289362313599594,-0.09275979811455401,5.58605799086762e-10,8.71959171642204e-10,0.009963515118853359,4.70078820278927e-05,5.9740342206664793e-05,-0.567839000589484
NP_720506.1,prs,SMU_23,ribose-phosphate pyrophosphokinase,NP_720506.1,0.000322854493084604,0.005647070999578021,0.0208275589861264,3.02858446687921e-14,7.61617069398765e-14,0.156224075555314,3.34493484225833e-10,7.70909100704007e-10,0.0303813713976784
NP_720507.1,,SMU_24,aromatic amino acid aminotransferase,NP_720507.1,0.0159130316480177,0.0515658176848668,-0.0676440691363317,1.4788261246238898e-11,2.7151081332129396e-11,0.234920396784841,3.7406076586329e-13,1.27662899011531e-12,0.100768059297385
NP_720508.1,recO,SMU_25,DNA repair protein RecO,NP_720508.1,0.0158457011370453,0.0514788201118934,0.0257295503775002,4.51198652049087e-10,7.11100691362961e-10,0.29283451183543396,3.91843006693669e-15,1.7327775397582296e-14,0.563975679766208
NP_720509.1,plsX,SMU_26,phosphate acyltransferase,NP_720509.1,0.0133959504193766,0.047199041135897006,0.0649815830377358,8.614644319862179e-14,2.0381749061123202e-13,0.301577686047787,9.04571738353208e-16,4.39716137824798e-15,0.0686962023710671
NP_720510.1,acpP,SMU_27,acyl carrier protein,NP_720510.1,0.0398965460873915,0.0904261910184046,0.136205269395363,2.1319741627094698e-39,1.44018530508546e-37,0.368412262116146,1.2929690984772099e-18,9.81754443378622e-18,0.15609232785072
NP_720511.1,,SMU_28,ATP-binding protein,NP_720511.1,0.0606892388142739,0.117187162607167,0.0128442337561871,1.83257776791474e-09,2.69521009560434e-09,-0.14782439348341,6.726517798746529e-07,1.03432090798622e-06,-0.0117294448309151
NP_720512.1,,SMU_29,phosphoribosylaminoimidazolesuccinocarboxamide synthase,NP_720512.1,0.020800430316802,0.0603674710972076,0.0146848475852188,2.7935504588530604e-09,4.02394510948025e-09,-0.28936885336199203,1.83150660258844e-18,1.36422868230827e-17,0.6149939959908821
NP_720513.1,purL,SMU_30,phosphoribosylformylglycinamidine synthase,NP_720513.1,0.0559925702445612,0.11170004593594199,-0.0887706174960752,2.88471198362006e-14,7.273038321636681e-14,-0.147852223497493,6.98652783122752e-09,1.3405100902423799e-08,0.141226535753043
NP_720514.1,,SMU_31,hypothetical protein,NP_720514.1,0.0013555278470824901,0.013017054178601002,0.196219240417857,4.7876153947402695e-18,2.05844012074412e-17,0.00799090294528422,9.222361755627658e-27,2.6183487940977694e-25,0.892882893415902
NP_720515.1,purF,SMU_32,amidophosphoribosyltransferase,NP_720515.1,0.450809207110139,0.49810222037719304,-0.29487008512596896,4.23199180407834e-09,5.977268885500699e-09,-0.617929190821025,4.53033597139817e-08,7.895843565808731e-08,-0.187601929615496
NP_720516.1,,SMU_33,hypothetical protein,NP_720516.1,0.114654277375992,0.17826010268219697,-0.0651720096907901,7.3238936476452e-08,9.35910479826285e-08,-0.32177995757406297,1.0486084376952e-07,1.75125654684134e-07,-0.10106947091600699
NP_720517.1,purM,SMU_34,phosphoribosylaminoimidazole synthetase,NP_720517.1,0.31234597497283506,0.36661819351215297,-0.21559680564808104,3.08424807868166e-07,3.8096103317385704e-07,-0.505305703469971,6.41599978260589e-10,1.4090743917180402e-09,-0.0387755535915991
NP_720518.1,purN,SMU_35,phosphoribosylglycinamide formyltransferase,NP_720518.1,0.21240459740835502,0.272852856605224,-0.222433839230752,9.41896556391473e-10,1.4215526609945302e-09,-0.491005122189799,7.05710518470159e-12,2.04812874916006e-11,-0.14241985938547
NP_720519.1,,SMU_36,hypothetical protein,NP_720519.1,0.181739300271415,0.243413087385019,-0.199351627916917,4.6429590154791e-08,6.01557983553146e-08,-0.6362805802177829,4.04253689665813e-10,9.12595127298837e-10,-0.0917841111765312
NP_720520.1,purH,SMU_37,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase,NP_720520.1,0.5203045886628951,0.5637592307470191,-0.254325002821653,1.1589533157110902e-05,1.33630932635552e-05,-0.47849687466377794,4.18066343719303e-05,5.3528886754647996e-05,-0.297016499859237
NP_720521.1,,SMU_38c,transcriptional regulator,NP_720521.1,0.73894520535348,0.76917835137485,-0.49887016234481396,2.08707075782764e-05,2.3784593453079397e-05,-0.72716585820304,0.0596176133636415,0.0631302186915534,-1.22185825074911
NP_720522.1,,SMU_39,hypothetical protein,NP_720522.1,0.35672474055051795,0.40843002147192603,-0.22917298497386399,0.00030780694362936403,0.000334810551121556,-0.833551951456244,0.00318324814662307,0.00351322992632935,-0.628286850274086
NP_720523.1,,SMU_40,hypothetical protein,NP_720523.1,0.0273640401219939,0.0712847800518431,-1.1980306280236102,2.37171699139808e-09,3.43399378133692e-09,-5.045055368003831,2.66037165237171e-05,3.483735338901189e-05,-4.16482519476976
NP_720524.1,,SMU_41,hypothetical protein,NP_720524.1,0.22802963896700895,0.287458212829067,-1.1063523334413001,5.945507047998779e-05,6.65176945004546e-05,-4.12573338573775,7.67616926889924e-07,1.17298093586378e-06,-5.8679177222233
NP_720525.1,,SMU_42,hypothetical protein,NP_720525.1,0.424384810710935,0.472906623539659,-0.31635872999518605,0.0006990184891663679,0.000751991883732518,-0.8802413112955171,0.00663922316594755,0.007257945414113421,-0.9055077600431409
NP_720526.1,,SMU_43,site-specific DNA-methyltransferase restriction-modification protein,NP_720526.1,0.26715605425501304,0.324462932601098,-0.10190832724580699,5.161437376374961e-06,6.04378710120654e-06,-0.28014474330565603,4.42964123119648e-07,6.931044067023889e-07,-0.12729360303156098
NP_720527.1,,SMU_44,DNA mismatch repair protein,NP_720527.1,0.0109479469792599,0.042451369869485,0.0721939339148519,8.538537689363821e-14,2.02261128578763e-13,0.134419580403124,2.59367280839961e-15,1.1761585721423202e-14,0.36944258265740904
NP_720528.1,,SMU_45,hypothetical protein,NP_720528.1,0.00041625566337364397,0.00632127786472068,0.19585439912261396,2.54282717672186e-21,1.8518209811145498e-20,0.11858234484382801,2.4518331524839497e-19,2.07928188126236e-18,0.452075716863324
NP_720529.1,,SMU_46,hypothetical protein,NP_720529.1,0.0144578304135809,0.0496892803161489,0.0732481463596751,2.28006285702412e-14,5.80083524274058e-14,0.0234930573678012,2.28603470908755e-18,1.67728164610581e-17,0.47999023049818607
NP_720530.1,,SMU_47,hypothetical protein,NP_720530.1,0.00258359828084947,0.0184046146624877,0.10183660304668801,7.902917685468709e-15,2.1178954508663797e-14,-0.0311019920057419,2.24984176019295e-12,6.854494569545871e-12,0.0038312740570044797
NP_720531.1,purD,SMU_48,phosphoribosylamine--glycine ligase,NP_720531.1,0.0267846226402975,0.0704309741642184,0.0177521777885574,1.9430675058572895e-09,2.84983746253096e-09,0.24027572777828898,2.5522482141968297e-52,9.999708503223179e-50,0.78837142915572
NP_720532.1,,SMU_49,hypothetical protein,NP_720532.1,0.00155674728940895,0.0138045597886489,0.1775356131381,2.4568897316097402e-09,3.5546875806672707e-09,0.333707080013729,1.34604439066308e-12,4.25306606662739e-12,0.498502480225015
NP_720533.1,purE,SMU_50,5-(carboxyamino)imidazole ribonucleotide mutase,NP_720533.1,0.0106299245607755,0.0417150690873251,0.0946358517717228,2.8259874518481e-20,1.74640675652064e-19,0.272529921443422,4.461521651582569e-22,5.8658529633894296e-21,0.62514148678575
NP_720534.1,purK,SMU_51,5-(carboxyamino)imidazole ribonucleotide synthase,NP_720534.1,0.00801398233738047,0.0357617116148709,0.0958238748436436,5.46329798417183e-09,7.6611315325645e-09,0.23403494213677,2.1477751613619495e-50,7.012485901846758e-48,1.02517895086803
NP_720535.1,,SMU_52,hypothetical protein,NP_720535.1,0.00144093412275265,0.013441856887963998,0.18380103994202301,5.89739009630092e-21,4.0114538884213595e-20,0.250379899624417,1.27444483769433e-12,4.046413998449251e-12,0.807744080846626
NP_720536.1,,SMU_53,hypothetical protein,NP_720536.1,0.00129636085587422,0.0126473814106833,0.21491585771636101,9.939078961128522e-17,3.49562938686728e-16,0.259345085676239,1.04673198026291e-24,1.89865550864355e-23,0.845325007074807
NP_720537.1,,SMU_54,amino acid recemase,NP_720537.1,0.0139215131738709,0.0485055117335076,0.109162022655782,6.4193787475263894e-18,2.7102506393112496e-17,0.105059430209952,1.95689300361867e-09,4.0395715427702595e-09,0.287021359827095
NP_720538.1,,SMU_55,hypothetical protein,NP_720538.1,0.000316259049282632,0.0055997926969202794,0.24151467773726804,1.94338643694949e-18,8.93684044597197e-18,0.279799031263955,5.696114324228239e-21,5.81181664643913e-20,0.7364028430597791
NP_720539.1,,SMU_56,hypothetical protein,NP_720539.1,0.0037004002538527296,0.0226533878040547,0.42989396452729906,6.07124264617681e-12,1.16148089295511e-11,0.28959199467887,5.74590715576798e-14,2.1440442129808497e-13,0.7945481517737291
NP_720540.1,,SMU_58,hypothetical protein,NP_720540.1,0.000894071224752943,0.0102101904033583,0.160153647049297,3.0177956202008098e-12,5.97157739391251e-12,0.0537621559209342,3.6616040272838704e-10,8.360235768588701e-10,0.749561671533529
NP_720541.1,purB,SMU_59,adenylosuccinate lyase,NP_720541.1,0.0458531860075795,0.0986019663982967,-0.0624867111447989,8.9279662815432e-15,2.3860690239485903e-14,0.0154921157287566,3.33417474602357e-23,4.94821842989407e-22,0.363190759509802
NP_720542.1,,SMU_60,DNA alkylation repair protein,NP_720542.1,0.7084296982526099,0.741749748197148,-0.36290901941820897,2.8772565420031e-07,3.5606731306279704e-07,-0.696092413815761,1.29051406530887e-05,1.75499739651523e-05,-0.442421891841609
NP_720543.1,,SMU_61,transcriptional regulator,NP_720543.1,0.35584209593404503,0.40765769937707297,-0.30873665876600104,2.87918033103959e-07,3.56080446244101e-07,-0.609768970291835,6.28703082684727e-06,8.8352176397373e-06,-0.293749019191747
